Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
ACC,101,1,1,10471,ACCOUNTING I,,,38,0,Noel Garrett,4,T R,1025-1140,,,-,,,-,,.
ACC,201,1,1,10472,ACCOUNTING II,,,38,0,Noel Garrett,4,T R,0900-1015,,,-,,,-,,.
AFR,165,1,1,10368,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
AFR,202,1,1,10535,CC: AFRICANA STUDIES MATTER,,Y,38,0,David Canton,4,T R,1315-1430,,,-,,,-,,.
AFR,208,1,1,10598,RACE/GENDER AND THE MASS MEDIA,,Y,28,0,Cherise Harris,4,T R,1445-1600,,,-,,,-,,.
AFR,224,1,1,10599,"HUMAN RIGHTS, MEDIA & ACTIVISM",,Y,28,0,Tristan Borer,4,T R,1150-1305,,,-,,,-,,.
AFR,260,1,1,10511,ANTHROPOLOGY OF THE CARIBBEAN,,Y,28,0,Catherine Benoit,4,T R,1025-1140,,,-,,,-,,.
AFR,304,1,1,10090,HIST OF HIP HOP MUSIC & CULTUR,,Y,18,0,David Canton,4,T R,0900-1015,,,-,,,-,,.
AFR,379,1,1,10586,BLACK POETICS,,Y,18,0,Hubert Cook,4,M W,1315-1430,,,-,,,-,,.
ASL,101,1,1,10006,ELEM AMERICAN SIGN LANGUAGE I,,,28,0,. To Be Assigned,4,M W F,1315-1405,,,-,,,-,,.
AMS,231,1,1,10503,USA PLAYS/AMERICAN DRAMA,,Y,18,0,Ken Prestininzi,4,M W,1315-1430,,,-,,,-,,.
AMS,232,1,1,10589,DISABILITY JUSTICE,,Y,25,0,Karen Hanna,4,T R,1025-1140,,,-,,,-,,.
AMS,253,1,1,10113,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,T R,1445-1600,,,-,,,-,,.
AMS,276,1,1,10601,CC:PRESIDNCY:WHITE HOUSE 20500,,Y,28,0,MaryAnne Borrelli,4,M   F,1150-1305,,,-,,,-,,.
AMS,379,1,1,10585,BLACK POETICS,,Y,18,0,Hubert Cook,4,M W,1315-1430,,,-,,,-,,.
AMS,428,1,1,10095,DEBATING CHINA'S GLOBALIZATION,,Y,16,0,Sarah Queen,4,T R,1315-1430,,,-,,,-,,.
AMS,465,1,1,10098,GLOBALZTN & AM CUL SINCE 1945,,Y,16,0,Catherine Stock,4,T,1315-1600,,,-,,,-,,.
ANT,103,1,1,10520,"GENDER, SEXUALITY, AND INTESEC",,Y,28,0,Ariella Rotramel,4,T R,1445-1600,,,-,,,-,,.
ANT,114,1,1,10258,CC: POWER AND INEQUALITY,,,28,0,Joyce Bennett,4,M W,1025-1140,,,-,,,-,,.
ANT,117,1,1,10304,CC:COEVOLUTION PLANTS & PEOPLE,,Y,28,0,Manuel Lizarralde,4,T R,1025-1140,,,-,,,-,,.
ANT,166,1,1,10369,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
ANT,206,1,1,10062,INTRODUCTION TO AFRICAN ART,,Y,35,0,Christopher Steiner,4,T R,1025-1140,CUM   307,,-,,,-,,.
ANT,207,1,1,10602,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,W,1315-1600,,,-,,,-,,.
ANT,234,1,1,10311,S AMER CULTURES & ENVIRONMENT,,Y,28,0,Manuel Lizarralde,4,M W,0900-1015,,,-,,,-,,.
ANT,256,1,1,10508,“MIGRATION CRISIS” IN EUROPE,,Y,28,0,Catherine Benoit,4,T R,1315-1430,,,-,,,-,,.
ANT,260,1,1,10510,ANTHROPOLOGY OF THE CARIBBEAN,,Y,28,0,Catherine Benoit,4,T R,1025-1140,,,-,,,-,,.
ANT,297,1,1,10271,ANTHROPOLOGISTS ABROAD,,,10,0,Rachel Black,2,W,1900-2145,,,-,,,-,,.
ANT,298,1,1,10273,ANTHROPOLOGISTS ABROAD,,,10,0,Rachel Black,2,W,1900-2145,,,-,,,-,,.
ANT,316,1,1,10117,SEX AND POWER IN JAPAN,,Y,28,0,Ayako Takamori,4,M W,1445-1600,,,-,,,-,,.
ANT,319,1,1,10274,MEDICAL ANTHROPOLOGY,,,28,0,Catherine Benoit,4,M W,1315-1430,,,-,,,-,,.
ANT,320,1,1,10275,ANTHRO OF SEXUALITY & GENDER,,Y,28,0,Joyce Bennett,4,M W,1445-1600,,,-,,,-,,.
ANT,393,1,1,10278,DISCARD(-ERS)(-ING)(-ABLES),,Y,18,0,Anthony Graesch,4,T R,1445-1600,,,-,,,-,,.
ARA,102,1,1,10039,ELEMENTARY ARABIC,,,18,0,Waed Athamneh,5,M W F,0900-1015,,,-,,,-,,.
ARA,202,1,1,10040,INTERMEDIATE ARABIC,,,18,0,Waed Athamneh,4,M W F,1025-1115,,,-,,,-,,.
ARA,230,1,1,10479,INTRO TO ARABIC LIT (IN ENG),,,28,0,Waed Athamneh,4,M   F,1150-1305,,,-,,,-,,.
ARC,103,1,1,10056,CC: BUILDING CULTURES,,Y,28,0,Anna Vallye,4,T R,1150-1305,CUM   308,,-,,,-,,.
ARC,103,2,1,10058,CC: BUILDING CULTURES,,Y,28,0,Anna Vallye,4,T R,1445-1600,CUM   308,,-,,,-,,.
ARC,225,1,1,10066,BTWN ART & INDUSTRY: BAUHAUS,,Y,16,0,Anna Vallye,4,M,1315-1600,CUM   307,,-,,,-,,.
ARC,342,1,1,10072,"ARCH DESIGN,II:SELECTED TOPICS",,Y,12,0,Bill Pollack,4,M,1900-2145,BUR   1LR,,-,,,-,,.
ART,101,1,1,10240,CONCEPTS IN TWO DIMENSIONS,,,18,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,103,1,1,10241,DESIGN: VISUAL LANGUAGE,,,16,0,Andrea Wollensak,4,T R,1315-1430,CUM   309,T R,1315-1430,CUM   309A,,-,,.
ART,104,1,1,10242,CC:TIME-BASED DIGITAL ART,,Y,16,0,Nadav Assor,4,M W,1445-1600,CUM   301,M W,1445-1600,CUM   309A,,-,,.
ART,106,1,1,10244,CC: THE MAKING MAKER,,,14,0,Greg Bailey,4,M W,1025-1140,,,-,,,-,,.
ART,200A,1,1,10245,DARKROOM PHOTOGRAPHY,,,12,0,,4,,-,,,-,,,-,,.
ART,204,1,1,10246,PRINT WKSHP: RELIEF PROCESS,,,12,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,205,1,1,10247,DRAWING FUNDAMENTALS,,,16,0,Pamela Marks,4,M W,1315-1600,CUM   315,,-,,,-,,.
ART,207,1,1,10248,DESIGN: TYPE AND IMAGE,,,16,0,Andrea Wollensak,4,T R,1025-1140,CUM   309,T R,1025-1140,CUM   309A,,-,,.
ART,209,1,1,10249,DESIGNING VISUAL INFORMATION,,Y,16,0,Andrea Wollensak,4,T R,0900-1015,CUM   309,T R,0900-1015,CUM   309A,,-,,.
ART,210,1,1,10250,CC: DECODING COLOR,,,16,0,Pamela Marks,4,M W,1025-1140,CUM   315,M W,1025-1140,CUM   305,,-,,.
ART,214,1,1,10252,VIDEO INSTALLATION,,Y,12,0,Nadav Assor,4,R,1900-2200,CUM   301,R,1900-2200,CUM   309A,,-,,.
ART,215,1,1,10254,3D:SCAN/MODEL/ANIMATE/PRINT,,Y,8,0,Nadav Assor,4,M W,0930-1140,CUM   301,M W,0930-1140,CUM   309A,,-,,.
ART,217,1,1,10256,CERAMIC SCULPT:VESSEL CONSTRUC,,,8,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,218,1,1,10257,CERAMIC SCULPT:OBJECT AS IDEA,,,8,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,222C,1,1,10259,LARGE FORMAT PAINTING,,,12,0,Chris Barnard,4,T R,1315-1600,CUM   314,,-,,,-,,.
ART,335F,1,1,10261,INDIV STUDIO INSTRUCTION I,Y,,5,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,342,1,1,10073,"ARCH DESIGN,II:SELECTED TOPICS",,Y,12,0,Bill Pollack,4,M,1900-2145,BUR   1LR,,-,,,-,,.
ART,450A,1,1,10263,SENIOR STUDIO,,,18,0,Nadav Assor,4,,-,,,-,,,-,,.
ART,450B,1,1,10265,SENIOR STUDIO,,,18,0,Greg Bailey,4,,-,,,-,,,-,,.
ART,450C,1,1,10266,SENIOR STUDIO,,,18,0,Chris Barnard,4,,-,,,-,,,-,,.
ART,450D,1,1,10267,SENIOR STUDIO,,,18,0,Pamela Marks,4,,-,,,-,,,-,,.
ART,450E,1,1,10268,SENIOR STUDIO,,,18,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,450F,1,1,10269,SENIOR STUDIO,,,18,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,450G,1,1,10270,SENIOR STUDIO,,,18,0,Andrea Wollensak,4,,-,,,-,,,-,,.
AHI,101,1,1,10054,"SURVEY OF THE HIST OF ART, I",,,38,0,Joseph Alchermes,4,W F,1315-1430,CUM   308,,-,,,-,,.
AHI,103,1,1,10055,CC: BUILDING CULTURES,,Y,28,0,Anna Vallye,4,T R,1150-1305,CUM   308,,-,,,-,,.
AHI,103,2,1,10057,CC: BUILDING CULTURES,,Y,28,0,Anna Vallye,4,T R,1445-1600,CUM   308,,-,,,-,,.
AHI,105,1,1,10059,CC: MONA LISA TO INSTAGRAM,,,38,0,Karen Gonzalez Rice,4,M W,1025-1140,CUM   308,,-,,,-,,.
AHI,105F,1,1,10060,ART IN ASL,,,18,0,Karen Gonzalez Rice,1,M,1315-1430,,,-,,,-,,.
AHI,203,1,1,10063,MODERN CHINESE ART,,Y,27,0,Di Luo,4,T R,1315-1430,CUM   307,,-,,,-,,.
AHI,206,1,1,10061,INTRODUCTION TO AFRICAN ART,,Y,35,0,Christopher Steiner,4,T R,1025-1140,CUM   307,,-,,,-,,.
AHI,225,1,1,10065,BTWN ART & INDUSTRY: BAUHAUS,,Y,16,0,Anna Vallye,4,M,1315-1600,CUM   307,,-,,,-,,.
AHI,283,1,1,10068,MUSEUM EDUCATION,,Y,25,0,David Rau,4,W,1315-1600,CUM   307,,-,,,-,,.
AHI,404,1,1,10577,APPROACHES TO ART HISTORY,,,16,0,Karen Gonzalez Rice Robert Baldwin,4,F,0900-1140,CUM   304,,-,,,-,,.
AHI,413,1,1,10070,ISLAMIC ART: WORD AND IMAGE,,,16,0,Joseph Alchermes,4,R,1315-1600,CUM   304,,-,,,-,,.
AHI,496,1,1,10071,MUSEUM STUDIES SENIOR PROJECT,Y,,16,0,Christopher Steiner,4,F,1315-1600,CUM   304,,-,,,-,,.
AT,104,1,1,10243,CC:TIME-BASED DIGITAL ART,,Y,16,0,Nadav Assor,4,M W,1445-1600,CUM   301,M W,1445-1600,CUM   309A,,-,,.
AT,201,1,1,10540,HIST OF ARTS & TECHNOLOGY,,,15,0,,4,F,1300-1500,CUM   301,M,1615-1745,,,-,,.
AT,209,1,1,10251,DESIGNING VISUAL INFORMATION,,Y,16,0,Andrea Wollensak,4,T R,0900-1015,CUM   309,T R,0900-1015,CUM   309A,,-,,.
AT,214,1,1,10253,VIDEO INSTALLATION,,Y,12,0,Nadav Assor,4,R,1900-2200,CUM   301,R,1900-2200,CUM   309A,,-,,.
AT,215,1,1,10255,3D:SCAN/MODEL/ANIMATE/PRINT,,Y,8,0,Nadav Assor,4,M W,0930-1140,CUM   301,M W,0930-1140,CUM   309A,,-,,.
AT,225,1,1,10067,BTWN ART & INDUSTRY: BAUHAUS,,Y,16,0,Anna Vallye,4,M,1315-1600,CUM   307,,-,,,-,,.
AT,304,1,1,10344,ELECTROACOUSTIC MUSIC II,,Y,15,0,Andrew Greenwald,4,,-,,,-,,,-,,.
AT,309,1,1,10205,GRAPHICS & VIRTUAL ENVIRONMNTS,,Y,18,0,S. James Lee,4,T R,1150-1305,,,-,,,-,,.
AT,312,1,1,10220,DIGITAL SOUND PROCESSING,,Y,18,0,Ozgur Izmirli,4,T R,1445-1600,,,-,,,-,,.
AT,320,1,1,10538,AMMERMAN JUNIOR SEMINAR,,,16,0,,2,M,1615-1745,,,-,,,-,,.
AT,402,1,1,10539,AMMERMAN SENIOR SEMINAR,,,16,0,,2,M,1615-1745,768   1LR,,-,,,-,,.
AST,110,1,1,10102,BEYOND THE SOLAR SYSTEM,,,38,0,Leslie Brown,4,M W,1445-1600,HALE  BROWN,,-,,,-,,.
AST,201,1,1,10103,INTRO TO ASTROPHYSICS,,,28,0,Michael Weinstein,4,,-,,,-,,,-,,.
BIO,120C,1,1,10158,INTRO TO BIOLOGICAL INQUIRY,,,18,0,E. Carla Parker-Athill,4,T,0900-1140,NLH   322,M W,1025-1140,NLH   304,,-,,.
BIO,120D,1,1,10159,INTRO TO BIOLOGICAL INQUIRY,,,18,0,Stephen Douglass,4,M W,1315-1600,OLIN  111,,-,,,-,,.
BIO,120G,1,1,10160,INTRO TO BIOLOGICAL INQUIRY,,,18,0,Phillip Barnes,4,T R,1025-1140,NLH   304,F,1315-1600,NLH   301,,-,,.
BIO,202,1,1,10161,HUMAN PHYSIOLOGY,,,36,0,,4,M W,1315-1430,,,-,,,-,,.
BIO,202L,1,1,10162,HUMAN PHYSIOLOGY LAB,,,18,0,,0,F,0900-1145,OLIN  111,,-,,,-,,.
BIO,202L,2,1,10163,HUMAN PHYSIOLOGY LAB,,,18,0,,0,F,1315-1600,OLIN  111,,-,,,-,,.
BIO,203,1,1,10164,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,,-,,,-,,,-,,.
BIO,209,1,1,10166,CELLS AND MOLECULES,,,32,0,Deborah Eastman,4,T R,1025-1140,,,-,,,-,,.
BIO,209L,1,1,10167,CELLS AND MOLECULES LAB,,,16,0,Deborah Eastman,0,T,1315-1600,,,-,,,-,,.
BIO,209L,2,1,10168,CELLS AND MOLECULES LAB,,,16,0,Kristine Hardeman,0,W,1315-1600,,,-,,,-,,.
BIO,210,1,1,10169,ECOLOGY AND EVOLUTION,,,32,0,,4,,-,,,-,,,-,,.
BIO,210L,1,1,10170,ECOLOGY AND EVOLUTION LAB,,,16,0,,0,,-,,,-,,,-,,.
BIO,210L,2,1,10171,ECOLOGY AND EVOLUTION LAB,,,16,0,,0,,-,,,-,,,-,,.
BIO,214,1,1,10172,BIOPSYCHOLOGY,,Y,38,0,Ruth Grahn,4,T R,0900-1015,,,-,,,-,,.
BIO,215,1,1,10466,INVERTEBRATE BIOLOGY,,,16,0,Niels-Viggo Hobbs,4,M W,-,,,-,,,-,,.
BIO,215L,1,1,10467,INVERTEBRATE BIOLOGY LAB,,,16,0,Niels-Viggo Hobbs,0,,-,,,-,,,-,,.
BIO,309,1,1,10468,MOLECULAR CELL BIOLOGY,,,24,0,,4,T R,0900-1015,,,-,,,-,,.
BIO,309L,1,1,10469,MOLECULAR CELL BIOL LAB,,,12,0,,0,T,1315-1600,NLH   301,,-,,,-,,.
BIO,309L,2,1,10470,MOLECULAR CELL BIOL LAB,,,12,0,,0,R,1315-1600,NLH   301,,-,,,-,,.
BIO,316,1,1,10176,NEUROPHYSIOLOGY,,,18,0,E. Carla Parker-Athill,4,M W,1445-1600,NLH   304,,-,,,-,,.
BIO,316L,1,1,10578,NEUROPHYSIOLOGY LAB,,,18,0,E. Carla Parker-Athill,0,T,1315-1600,NLH   322,,-,,,-,,.
BIO,322,1,1,10177,PSYCHOPHARMACOLOGY,,Y,16,0,Ruth Grahn,4,W F,0900-1015,,R,1315-1600,BIL   314,,-,,.
BIO,330,1,1,10178,MICROBIOLOGY,,,24,0,Sardha Suriyapperuma,4,M W,1025-1140,OLIN  107,,-,,,-,,.
BIO,330L,1,1,10180,MICROBIOLOGY LAB,,,12,0,Sardha Suriyapperuma,0,T R,1025-1140,NLH   201,,-,,,-,,.
BIO,330L,2,1,10181,MICROBIOLOGY LAB,,,12,0,Sardha Suriyapperuma,0,T R,1150-1305,NLH   201,,-,,,-,,.
BIO,336,1,1,10182,NEUROBIOLOGY OF DISEASE,,Y,18,0,Joseph Schroeder,4,M,1315-1600,,,-,,,-,,.
BIO,493G,1,1,10184,MOLECULAR EVOLUTION,,,16,0,Phillip Barnes,4,T,1315-1600,NLH   304,,-,,,-,,.
BOT,114,1,1,10288,CC: BOTANY AND CLIMATE CHANGE,,,28,0,Pamela Hine,4,M W,0900-1015,,,-,,,-,,.
BOT,114L,1,1,10297,PLANTS AND A CHANGING CLIMATE,,,14,0,Pamela Hine,0,M,1315-1600,NLH   112,,-,,,-,,.
BOT,114L,2,1,10301,PLANTS AND A CHANGING CLIMATE,,,14,0,Pamela Hine,0,T,1315-1600,NLH   112,,-,,,-,,.
BOT,117,1,1,10302,CC:COEVOLUTION PLANTS & PEOPLE,,Y,28,0,Manuel Lizarralde,4,T R,1025-1140,,,-,,,-,,.
BOT,207,1,1,10307,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,W,1315-1600,,,-,,,-,,.
BOT,230,1,1,10309,ECOLOGICAL AGRICULTURE,,,14,0,Eric Vukicevich,4,M W,1025-1140,NLH   204,R,1315-1600,NLH   222,,-,,.
BOT,234,1,1,10310,S AMER CULTURES & ENVIRONMENT,,Y,28,0,Manuel Lizarralde,4,M W,0900-1015,,,-,,,-,,.
BOT,493N,1,1,10313,BIOFUELS,,Y,16,0,Rachel Spicer,4,W,1900-2145,NLH   400,,-,,,-,,.
CHM,100,1,1,10187,CC: CHEMISTRY IN CONTEXT,,,38,0,Emily Tarsis,4,M W F,1025-1115,,,-,,,-,,.
CHM,104,1,1,10189,GENERAL CHEMISTRY,Y,,104,0,Stanton Ching,5,M W F,0800-0850,OLIN  014,,-,,,-,,.
CHM,104L,1,1,10190,GENERAL CHEMISTRY LAB,,,12,0,,0,M,1310-1600,OLIN  304,,-,,,-,,.
CHM,104L,2,1,10196,GENERAL CHEMISTRY LAB,,,12,0,,0,T,0900-1150,OLIN  304,,-,,,-,,.
CHM,104L,3,1,10197,GENERAL CHEMISTRY LAB,,,12,0,,0,T,1310-1600,OLIN  304,,-,,,-,,.
CHM,104L,4,1,10198,GENERAL CHEMISTRY LAB,,,12,0,,0,W,1310-1600,OLIN  304,,-,,,-,,.
CHM,104L,5,1,10199,GENERAL CHEMISTRY LAB,,,12,0,,0,R,1310-1600,OLIN  304,,-,,,-,,.
CHM,104L,6,1,10200,GENERAL CHEMISTRY LAB,,,12,0,,0,M,1800-2050,OLIN  304,,-,,,-,,.
CHM,202,1,1,10201,PRINCIPLES OF INORGANIC CHEM,,,28,0,,4,M W F,0800-0850,HALE  BROWN,,-,,,-,,.
CHM,204,1,1,10204,INORGANIC CHEMISTRY,,,12,0,,5,M W F,0800-0850,HALE  BROWN,,-,,,-,,.
CHM,204L,1,1,10206,INORGANIC CHEMISTRY LAB,,,12,0,,0,R,1830-2120,OLIN  304,,-,,,-,,.
CHM,214,1,1,10207,ANALYTICAL CHEMISTRY,,,24,0,Jacob Stewart,4,M W,1025-1140,HALE  118,,-,,,-,,.
CHM,214L,1,1,10209,ANALYTICAL CHEMISTRY LAB,,,12,0,Jacob Stewart,0,R,1310-1600,HALE  118,,-,,,-,,.
CHM,224,1,1,10210,ORGANIC CHEMISTRY,,,48,0,Timo Ovaska,5,M W F,0900-0950,OLIN  014,,-,,,-,,.
CHM,224L,1,1,10211,ORGANIC CHEMISTRY LAB,,,12,0,,0,M,1300-1620,OLIN  306,,-,,,-,,.
CHM,224L,2,1,10212,ORGANIC CHEMISTRY LAB,,,12,0,,0,M,1800-2120,OLIN  306,,-,,,-,,.
CHM,224L,3,1,10213,ORGANIC CHEMISTRY LAB,,,12,0,,0,T,1300-1620,OLIN  306,,-,,,-,,.
CHM,224L,4,1,10214,ORGANIC CHEMISTRY LAB,,,12,0,,0,T,1800-2050,OLIN  306,,-,,,-,,.
CHM,304,1,1,10218,BIOCHEMISTRY,,,24,0,Tanya Schneider,4,M W F,0900-0950,HALE  BROWN,,-,,,-,,.
CHM,304L,1,1,10219,BIOCHEMISTRY LAB,,,12,0,Tanya Schneider,0,M,1310-1620,HALE  014,,-,,,-,,.
CHM,304L,2,1,10221,BIOCHEMISTRY LAB,,,12,0,Katie Launer-Felty,0,T,1310-1620,HALE  014,,-,,,-,,.
CHM,396,1,1,10222,CHEMISTRY SEMINAR SERIES,,,18,0,Stanton Ching,1,T,1630-1730,HALE  BROWN,,-,,,-,,.
CHM,414,1,1,10225,INSTRUMENTAL METH ANALYSIS,,,12,0,Stanton Ching,4,T R,0900-1015,HALE  118,,-,,,-,,.
CHM,414L,1,1,10226,INSTRUMNT METH OF ANALYSIS LAB,,,12,0,Stanton Ching,0,W,1300-1620,HALE  014,,-,,,-,,.
CHI,102,1,1,10074,INTENSIVE ELEM CHINESE,,,18,0,Tek-wah King,6,MTWR,0900-1015,,,-,,,-,,.
CHI,202,1,1,10075,INTENSIVE INTERMED CHINESE II,,,18,0,Tek-wah King,5,M W,1025-1115,,T R,1025-1140,,,-,,.
CHI,302,1,1,10076,UPPER INTERMED CHINESE,,,18,0,Marilyn Guerrera,4,M W,1315-1430,,,-,,,-,,.
CHI,416,1,1,10582,CHINESE FOR THE PROFESSIONS,,,16,0,Marilyn Guerrera,4,M W,1445-1600,,,-,,,-,,.
CLA,104,1,1,10041,CC: CLASSICAL MYTHOLOGY,,,38,0,Abbe Walker,4,M W,1025-1140,,,-,,,-,,.
CLA,300,1,1,10042,SELECT TOPICS IN CLASSICS,,,18,0,Tobias Myers,4,T R,1150-1305,,,-,,,-,,.
CA,201,1,1,10514,FOUNDATIONS COMMUNITY ACTION,Y,,28,0,Ariella Rotramel,4,M,1315-1600,,,-,,,-,,.
CA,201A,1,1,10515,NEW LONDON COMMUNITY PRACTICUM,Y,,28,0,Angela Barney,2,W,1315-1430,,,-,,,-,,.
CA,302,1,1,10513,JR COMMUNITY LEARNING SEM,Y,,28,0,Rebecca McCue,2,M,1150-1305,,,-,,,-,,.
CA,402,1,1,10512,SR SEM IN COMM ACT/PUB POLICY,Y,,28,0,Audrey Zakriski Angela Barney,2,M,1150-1305,,,-,,,-,,.
COM,110,1,1,10185,CC:INTRO COMP SCI & PROB SOLV,,,48,0,Christine Chung,4,M W,1315-1430,HALE  BROWN,,-,,,-,,.
COM,110L,1,1,10186,INTRO COMP SCI/PROB SOLV LAB,,,20,0,Christine Chung,0,F,1000-1200,NLH   214,,-,,,-,,.
COM,110L,2,1,10188,INTRO COMP SCI/PROB SOLV LAB,,,28,0,Christine Chung,0,F,1315-1515,HALE  BROWN,,-,,,-,,.
COM,203,1,1,10165,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,,-,,,-,,,-,,.
COM,212,1,1,10192,DATA STRUCTURES,,,18,0,Gary Parker,4,M W,1025-1140,NLH   214,,-,,,-,,.
COM,212,2,1,10193,DATA STRUCTURES,,,18,0,William Tarimo,4,T R,1025-1140,NLH   214,,-,,,-,,.
COM,213,1,1,10109,ELECTRONICS FOR SCIENTISTS,,Y,10,0,Mohamed Diagne,4,,-,,,-,,,-,,.
COM,214,1,1,10194,WEB TECHNOLOGIES & DEVELOPMENT,,,18,0,William Tarimo,4,T R,1315-1430,NLH   214,,-,,,-,,.
COM,219,1,1,10202,COMPUTER ORGANIZATION,,,18,0,Ozgur Izmirli,4,T R,0900-1015,NLH   214,,-,,,-,,.
COM,307,1,1,10195,MACHINE LEARN/DATA MINING,,,18,0,Stephen Douglass,4,M W,1315-1430,NLH   214,,-,,,-,,.
COM,309,1,1,10203,GRAPHICS & VIRTUAL ENVIRONMNTS,,Y,18,0,S. James Lee,4,T R,1150-1305,NLH   214,,-,,,-,,.
COM,310,1,1,10208,ROBOTICS,,,18,0,Gary Parker,4,M W,1445-1600,NLH   214,,-,,,-,,.
COM,312,1,1,10217,DIGITAL SOUND PROCESSING,,Y,18,0,Ozgur Izmirli,4,T R,1445-1600,OLIN  214,,-,,,-,,.
COM,496,1,1,10223,RESEARCH SEMINAR,,,15,0,S. James Lee,4,M,1900-2145,NLH   200,,-,,,-,,.
COM,496,2,1,10224,RESEARCH SEMINAR,,,15,0,Gary Parker,4,W,1900-2145,NLH   200,,-,,,-,,.
CRE,165,1,1,10370,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
CRE,253,1,1,10114,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,T R,1445-1600,,,-,,,-,,.
CRE,310,1,1,10239,RACIAL IDENTITY IN AMERICA,,Y,25,0,Cherise Harris,4,T R,1315-1430,,,-,,,-,,.
DAN,102,50,1,10360,INTRODUCTION TO YOGA,,,50,0,Marya Ursin,1,T R,0900-0950,CRO   MYERS,,-,,,-,,.
DAN,103,50,1,10361,PILATES,,,50,0,Alisha Bliss,1,M,1150-1305,CRO   MYERS,,-,,,-,,.
DAN,116,1,1,10362,BALLROOM DANCE,,,38,0,Gregory Duda,1,M,2000-2100,,,-,,,-,,.
DAN,125,1,1,10363,DANCE PRODUCTION,,,18,0,Shawn Hove,2,M,1900-2145,CRO   MYERS,,-,,,-,,.
DAN,151,1,1,10364,MOVERS &SHAKERS,,,25,0,Rachel Boggia,4,T R,1315-1430,CRO   MYERS,,-,,,-,,.
DAN,159,1,1,10554,INTRODUCTION TO BALLET,,,25,0,Shawn Hove,2,M W,1445-1600,CRO   MYERS,,-,,,-,,.
DAN,162,1,1,10555,WEST AFRICAN DANCE I,,,18,0,Shani Collins-Achille,4,T R,1150-1305,CRO   MYERS,,-,,,-,,.
DAN,165,1,1,10367,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
DAN,208,1,1,10556,CHOREOGRAPHY I,,,18,0,Lisa Race,4,T R,1150-1305,CRO   2ND FLOOR,,-,,,-,,.
